Carleton University,3.50%,13.50%,32.30%,30.70%,16.40%,3.50%,0.00%,84.30,
University of Guelph,3.90%,23.80%,47.40%,23.80%,0.00%,0.00%,0.00%,87.30,
Lakehead University,7.60%,11.40%,22.80%,17.70%,15.20%,17.70%,7.60%,81.90,
Laurentian University,0.00%,15.90%,25.70%,23.20%,20.70%,12.60%,1.90%,82.50,
McMaster University,11.70%,60.30%,28.00%,0.00%,0.00%,0.00%,0.00%,91.10,
University of Ottawa,3.30%,15.80%,36.50%,33.70%,10.70%,0.00%,0.00%,85.30,
Ontario Tech University,0.00%,7.70%,15.70%,35.80%,32.40%,7.00%,0.00%,81.30,
Queen's University,18.40%,52.90%,24.10%,4.30%,0.00%,0.00%,0.00%,91.10,
Ryerson University,1.80%,13.40%,54.20%,30.70%,0.00%,0.00%,0.00%,86.60,
Toronto » All Campuses,35.30%,52.80%,11.50%,0.40%,0.00%,0.00%,0.00%,93.30,
University of Waterloo,38.10%,47.50%,12.40%,2.00%,0.00%,0.00%,0.00%,93.10,
Western » Main Campus,8.80%,40.20%,47.10%,3.70%,0.00%,0.00%,0.00%,89.60,
University of Windsor,3.90%,17.60%,25.50%,34.90%,17.60%,0.00%,0.00%,84.60,
York University,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,84.30,