Carleton University,84.3,85,11755,379,45.3876,-75.696,20,27811,12602.71,10,
Lakehead University,81.9,70,8956,337,48.4211,-89.2607,27,8446,13284,13,
Laurentian University,82.5,75,9461,165,46.47,-80.9745,37,7897,8202,14,
McMaster University,91.1,85,11194,232,43.2609,-79.9192,6,30994,9350,3,
Ontario Tech University,81.3,75,12010,126,43.9458,-78.896,26,7700,8924,11,
Queen's University,91.1,85,13243,283,44.2253,-76.4951,14,28553,7700,4,
Ryerson University,86.6,80,11163,743,43.6577,-79.3788,25,39471,12652.06,7,
University of Guelph,87.3,85,12806,169,43.5327,-80.2262,18,27997,8632,6,
University of Ottawa,85.3,75,6332,13,45.4231,-75.6831,8,38959,10695,8,
University of Toronto,93.3,85,15864,637,43.6629,-79.3857,1,87083,15781,1,
University of Waterloo,93.1,85,15115,741,43.4723,-80.5449,10,38739,9375,2,
University of Western,89.6,85,13762,332,43.00995,-81.273613,9,38376,14910,5,
University of Windsor,84.6,75,10638,163,42.3043,-83.066,27,15569,8164,12,
York University,84.3,75,14450,772,43.7735,-79.5019,19,46906,12351,9